id_gares;nom_gares;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto
1100;Montempoivre;TRAM 3a;3A;TRAMWAY;0;0;0;0;0;RATP;1;0;656613.3872;6860141.8357;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614
1143;Lamartine;TRAM 7;7;TRAMWAY;0;0;0;0;0;RATP;1;0;653501.0075;6853854.8962;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0
1190;Les Béatus;TRAM 8;8;TRAMWAY;0;0;0;0;0;RATP;1;0;650252.7697;6872618.0593;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de
36;Aulnay-sous-Bois;TRAM 4;4;TRAMWAY;0;0;0;TRAM 4;0;SNCF;1;0;663155.1739;6870337.4563;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e
253;Église de Pantin;METRO 5;5;METRO;0;0;0;0;0;RATP;1;0;656942.8491;6866064.6389;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273
159;Château d'Eau;METRO 4;4;METRO;0;0;0;0;0;RATP;1;0;652773.6544;6863814.2778;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb
169;Châtelet;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;652171.9989;6862075.8157;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
1860;Hôpital Bicêtre;METRO 14;14;METRO;0;0;0;0;0;RATP;1;0;652246.4271;6856834.2112;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5
652;Place d'Italie;METRO 5;5;METRO;0;0;METRO 5;0;0;RATP;1;0;652693.7822;6859183.7267;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273
144;Champs-Élysées – Clemenceau;METRO 1;1;METRO;0;0;0;0;0;RATP;1;0;649643.8307;6863316.2783;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4
1;Porte Maillot;METRO 1;1;METRO;0;0;0;0;0;RATP;1;0;647424.8025;6864408.6314;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4
371;Jacques-Henri Lartigue;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;1;0;645706.3473;6858548.317;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886
1104;Avenue de France;TRAM 3a;3A;TRAMWAY;0;0;0;0;0;RATP;1;0;654567.2279;6858568.0124;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614
